Algorithm_Name,Queens,Iterations,Time,H_Value,Solution_Found
genetic,15,380,2.112759828567505,1,False
hill-climbing,4,17,0.0009975433349609375,0,True
simulated-annealing,4,33,0.0010237693786621094,0,True
genetic,4,20,0.015959978103637695,0,True
hill-climbing,8,10000,0.6451456546783447,1,False
simulated-annealing,8,10000,0.6656558513641357,1,False
genetic,8,380,0.7384364604949951,1,False
hill-climbing,10,10000,0.8518264293670654,2,False
simulated-annealing,10,10000,0.8636817932128906,2,False
genetic,10,380,1.0387871265411377,1,False
hill-climbing,12,10000,1.0296926498413086,3,False
simulated-annealing,12,10000,1.079287052154541,4,False
genetic,12,380,1.4238028526306152,1,False
hill-climbing,15,10000,1.4338574409484863,6,False
simulated-annealing,15,10000,1.4347610473632812,5,False
genetic,15,380,2.1383252143859863,2,False
hill-climbing,4,81,0.001992940902709961,0,True
simulated-annealing,4,23,0.0,0,True
genetic,4,40,0.03242921829223633,0,True
hill-climbing,8,10000,0.6629352569580078,1,False
simulated-annealing,8,10000,0.6677649021148682,1,False
genetic,8,52,0.10725522041320801,0,True
hill-climbing,10,10000,0.8282363414764404,2,False
simulated-annealing,10,10000,0.8466999530792236,3,False
genetic,10,156,0.42508554458618164,0,True
hill-climbing,12,10000,1.0327410697937012,3,False
simulated-annealing,12,10000,1.0652015209197998,3,False
genetic,12,207,0.7738957405090332,0,True
hill-climbing,15,10000,1.401263952255249,5,False
simulated-annealing,15,10000,1.459812879562378,3,False
genetic,15,380,2.0604376792907715,1,False
hill-climbing,4,62,0.001996755599975586,0,True
simulated-annealing,4,10,0.0,0,True
genetic,4,5,0.003022432327270508,0,True
hill-climbing,8,10000,0.6700634956359863,1,False
simulated-annealing,8,10000,0.6698224544525146,1,False
genetic,8,380,0.7309060096740723,1,False
hill-climbing,10,10000,0.8149416446685791,3,False
simulated-annealing,10,10000,0.8342187404632568,2,False
genetic,10,380,1.0517656803131104,2,False
hill-climbing,12,10000,1.0522310733795166,4,False
simulated-annealing,12,10000,1.0567195415496826,3,False
genetic,12,380,1.4238181114196777,2,False
hill-climbing,15,10000,1.3914251327514648,4,False
simulated-annealing,15,10000,1.4226322174072266,5,False
genetic,15,380,2.385988473892212,1,False
hill-climbing,4,7,0.0,0,True
simulated-annealing,4,431,0.01695728302001953,0,True
genetic,4,4,0.0039899349212646484,0,True
hill-climbing,8,10000,0.715203046798706,1,False
simulated-annealing,8,10000,0.8235416412353516,1,False
genetic,8,172,0.3724648952484131,0,True
hill-climbing,10,10000,0.8094165325164795,3,False
simulated-annealing,10,10000,0.8374545574188232,3,False
genetic,10,380,1.045562982559204,1,False
hill-climbing,12,10000,1.0329620838165283,4,False
simulated-annealing,12,10000,1.072389841079712,3,False
genetic,12,380,1.424262523651123,2,False
hill-climbing,15,10000,1.4281117916107178,5,False
simulated-annealing,15,10000,1.4505367279052734,6,False
genetic,15,380,2.109943389892578,1,False
hill-climbing,4,201,0.007979393005371094,0,True
simulated-annealing,4,174,0.006014823913574219,0,True
genetic,4,10,0.007009029388427734,0,True
hill-climbing,8,10000,0.6470277309417725,2,False
simulated-annealing,8,10000,0.6611955165863037,1,False
genetic,8,101,0.19855308532714844,0,True
hill-climbing,10,10000,0.8201162815093994,2,False
simulated-annealing,10,10000,0.8359072208404541,2,False
genetic,10,380,1.0254473686218262,1,False
hill-climbing,12,10000,1.0598230361938477,4,False
simulated-annealing,12,10000,1.0668854713439941,3,False
genetic,12,380,1.414017677307129,1,False
hill-climbing,15,10000,1.4383482933044434,6,False
simulated-annealing,15,10000,1.4392762184143066,6,False
genetic,15,380,2.108290195465088,1,False
hill-climbing,4,454,0.015961170196533203,0,True
simulated-annealing,4,19,0.000997781753540039,0,True
genetic,4,24,0.0189511775970459,0,True
hill-climbing,8,10000,0.6382796764373779,1,False
simulated-annealing,8,10000,0.6699817180633545,1,False
genetic,8,115,0.22604775428771973,0,True
hill-climbing,10,10000,0.8392143249511719,2,False
simulated-annealing,10,10000,0.8567075729370117,3,False
genetic,10,107,0.2948119640350342,0,True
hill-climbing,12,10000,1.036623477935791,3,False
simulated-annealing,12,10000,1.04978609085083,4,False
genetic,12,380,1.4357221126556396,2,False
hill-climbing,15,10000,1.4395418167114258,5,False
simulated-annealing,15,10000,1.4599716663360596,5,False
genetic,15,380,2.1180429458618164,2,False
hill-climbing,4,203,0.006010770797729492,0,True
simulated-annealing,4,111,0.005960702896118164,0,True
genetic,4,2,0.0020134449005126953,0,True
hill-climbing,8,10000,0.6338381767272949,1,False
simulated-annealing,8,10000,0.6530451774597168,1,False
genetic,8,380,0.7328546047210693,1,False
hill-climbing,10,10000,0.8359541893005371,2,False
simulated-annealing,10,10000,0.8397150039672852,3,False
genetic,10,101,0.2798910140991211,0,True
hill-climbing,12,10000,1.0447170734405518,3,False
simulated-annealing,12,10000,1.0349116325378418,3,False
genetic,12,380,1.4223082065582275,1,False
hill-climbing,15,10000,1.4341731071472168,5,False
simulated-annealing,15,10000,1.447490930557251,5,False
genetic,15,380,2.1084320545196533,2,False
hill-climbing,4,28,0.0,0,True
simulated-annealing,4,17,0.0,0,True
genetic,4,32,0.02544879913330078,0,True
hill-climbing,8,10000,0.6297295093536377,1,False
simulated-annealing,8,10000,0.6615238189697266,1,False
genetic,8,380,0.7320313453674316,1,False
hill-climbing,10,10000,0.8442668914794922,3,False
simulated-annealing,10,10000,0.8427309989929199,2,False
genetic,10,380,1.0333549976348877,2,False
hill-climbing,12,10000,1.061981439590454,3,False
simulated-annealing,12,10000,1.0848140716552734,4,False
genetic,12,380,1.4031982421875,1,False
